Trial 1:0back,Trial 6:0back
0.294,0.598
0.301,0.598
0.308,0.599
0.311,0.599
0.308,0.598
0.302,0.599
0.295,0.604
0.291,0.608
0.289,0.605
0.288,0.599
0.289,0.597
0.291,0.597
0.293,0.599
0.294,0.599
0.294,0.6
0.293,0.601
0.293,0.599
0.292,0.598
0.291,0.599
0.29,0.6
0.29,0.6
0.29,0.599
0.29,0.598
0.288,0.599
0.287,0.599
0.288,0.598
0.289,0.598
0.29,0.599
0.29,0.599
0.29,0.599
0.29,0.598
0.288,0.598
0.287,0.599
0.287,0.598
0.287,0.597
0.287,0.597
0.287,0.598
0.288,0.599
0.288,0.598
0.288,0.598
0.286,0.598
0.287,0.598
0.291,0.597
0.297,0.597
0.299,0.597
0.297,0.598
0.293,0.597
0.289,0.597
0.286,0.597
0.284,0.598
0.287,0.597
0.294,0.597
0.301,0.597
0.302,0.597
0.298,0.597
0.293,0.596
0.289,0.596
0.286,0.597
0.284,0.597
0.286,0.596
0.289,0.596
0.293,0.596
0.294,0.597
0.294,0.596
0.293,0.596
0.292,0.596
0.29,0.596
0.289,0.596
0.289,0.595
0.289,0.597
0.288,0.601
0.29,0.604
0.295,0.601
0.302,0.596
0.307,0.595
0.31,0.596
0.308,0.597
0.302,0.597
0.295,0.598
0.289,0.598
0.288,0.597
0.294,0.596
0.301,0.597
0.303,0.598
0.302,0.597
0.3,0.597
0.298,0.597
0.295,0.597
0.295,0.598
0.298,0.597
0.3,0.597
0.298,0.597
0.296,0.597
0.295,0.596
0.295,0.596
0.295,0.596
0.294,0.597
0.295,0.597
0.295,0.596
0.295,0.596
0.294,0.596
0.294,0.596
0.294,0.595
0.294,0.595
0.293,0.596
0.293,0.596
0.293,0.596
0.293,0.595
0.292,0.595
0.292,0.596
0.292,0.595
0.292,0.594
0.292,0.595
0.291,0.596
0.291,0.596
0.291,0.595
0.291,0.595
0.29,0.595
0.291,0.595
0.291,0.595
0.291,0.595
0.29,0.595
0.29,0.596
0.29,0.595
0.29,0.594
0.29,0.595
0.29,0.595
0.29,0.595
0.291,0.595
0.29,0.595
0.289,0.595
0.289,0.595
0.289,0.594
0.289,0.594
0.289,0.595
0.288,0.594
0.289,0.593
0.289,0.593
0.288,0.594
0.288,0.595
0.288,0.594
0.288,0.594
0.288,0.594
0.287,0.595
0.29,0.594
0.297,0.593
0.303,0.594
0.302,0.594
0.299,0.594
0.297,0.594
0.295,0.594
0.293,0.595
0.292,0.595
0.297,0.593
0.304,0.593
0.308,0.594
0.306,0.594
0.301,0.594
0.298,0.593
0.295,0.594
0.293,0.594
0.295,0.594
0.301,0.593
0.308,0.595
0.311,0.598
0.309,0.599
0.308,0.596
0.306,0.593
0.302,0.597
0.301,0.602
0.303,0.603
0.304,0.598
0.303,0.595
0.303,0.595
0.305,0.595
0.306,0.596
0.305,0.597
0.302,0.598
0.3,0.597
0.299,0.596
0.3,0.595
0.3,0.596
0.301,0.597
0.306,0.597
0.313,0.596
0.316,0.6
0.314,0.604
0.309,0.602
0.304,0.597
0.3,0.595
0.299,0.595
0.299,0.597
0.3,0.597
0.301,0.598
0.302,0.599
0.303,0.598
0.303,0.596
0.302,0.596
0.3,0.596
0.299,0.597
0.298,0.596
0.299,0.597
0.299,0.6
0.298,0.603
0.299,0.601
