Trial 3:3back,Trial 5:3back
36.663,36.125
36.645,36.15
36.63,36.173
36.618,36.193
36.61,36.212
36.606,36.229
36.606,36.243
36.61,36.255
36.617,36.266
36.629,36.276
36.645,36.285
36.665,36.294
36.688,36.304
36.715,36.315
36.744,36.326
36.775,36.337
36.806,36.348
36.837,36.359
36.867,36.369
36.894,36.378
36.918,36.384
36.939,36.388
36.955,36.388
36.967,36.385
36.975,36.379
36.979,36.369
36.98,36.356
36.978,36.342
36.973,36.325
36.967,36.308
36.958,36.292
36.946,36.276
36.932,36.261
36.915,36.248
36.895,36.237
36.872,36.227
36.848,36.218
36.822,36.21
36.794,36.203
36.764,36.197
36.733,36.19
36.7,36.182
36.667,36.174
36.632,36.164
36.596,36.153
36.56,36.14
36.523,36.126
36.485,36.112
36.447,36.097
36.408,36.083
36.369,36.071
36.329,36.06
36.288,36.051
36.248,36.045
36.207,36.041
36.165,36.04
36.122,36.041
36.079,36.045
36.036,36.051
35.993,36.059
35.951,36.07
35.91,36.083
35.87,36.099
35.831,36.118
35.794,36.139
35.759,36.162
35.726,36.186
35.694,36.21
35.662,36.233
35.63,36.254
35.597,36.27
35.564,36.28
35.532,36.284
35.499,36.28
35.467,36.267
35.436,36.245
35.407,36.214
35.379,36.175
35.353,36.128
35.329,36.074
35.306,36.014
35.287,35.951
35.271,35.884
35.259,35.815
35.25,35.744
35.244,35.674
35.242,35.604
35.243,35.535
35.246,35.468
35.251,35.402
35.258,35.338
35.265,35.275
35.273,35.215
35.281,35.156
35.289,35.099
35.296,35.045
35.302,34.992
35.307,34.94
35.311,34.891
35.313,34.844
35.313,34.799
35.312,34.757
35.309,34.717
35.304,34.68
35.299,34.647
35.293,34.615
35.289,34.587
35.285,34.56
35.282,34.536
35.279,34.513
35.277,34.491
35.275,34.472
35.272,34.455
35.268,34.442
35.262,34.432
35.254,34.426
35.243,34.425
35.231,34.428
35.219,34.436
35.208,34.447
35.198,34.462
35.191,34.48
35.185,34.501
35.181,34.526
35.177,34.555
35.175,34.587
35.173,34.624
35.173,34.665
35.173,34.711
35.173,34.76
35.173,34.813
35.174,34.867
35.174,34.924
35.174,34.982
35.173,35.038
35.171,35.093
35.167,35.143
35.161,35.189
35.152,35.23
35.141,35.264
35.128,35.292
35.112,35.313
35.095,35.327
35.076,35.336
35.057,35.341
35.036,35.34
35.015,35.337
34.994,35.33
34.973,35.321
34.953,35.31
34.934,35.298
34.915,35.285
34.898,35.271
34.881,35.258
34.864,35.245
34.849,35.234
34.833,35.224
34.816,35.217
34.798,35.213
34.778,35.211
34.756,35.211
34.731,35.214
34.705,35.221
34.677,35.23
34.648,35.243
34.618,35.259
34.588,35.279
34.558,35.303
34.529,35.331
34.501,35.364
34.476,35.401
34.452,35.444
34.431,35.491
34.411,35.543
34.392,35.599
34.375,35.659
34.36,35.72
34.346,35.784
34.336,35.849
34.328,35.916
34.324,35.983
34.324,36.05
34.328,36.116
34.339,36.182
34.359,36.247
34.388,36.31
34.429,36.371
34.483,36.43
34.551,36.485
34.636,36.535
34.737,36.581
34.853,36.62
34.985,36.653
35.13,36.679
35.288,36.697
35.456,36.708
35.632,36.71
35.813,36.704
35.996,36.691
36.179,36.671
36.358,36.645
36.531,36.614
36.695,36.579
36.851,36.54
36.995,36.499
37.128,36.456
37.249,36.412
37.357,36.368
37.453,36.324
37.537,36.281
37.608,36.236
37.667,36.191
37.713,36.143
37.748,36.092
37.773,36.036
37.787,35.974
37.791,35.905
37.786,35.828
37.772,35.743
37.75,35.65
37.721,35.551
37.686,35.445
37.647,35.335
37.606,35.221
37.563,35.105
37.519,34.988
37.476,34.871
37.434,34.756
37.393,34.643
37.354,34.533
37.318,34.427
37.285,34.325
37.254,34.227
37.226,34.134
37.2,34.046
37.176,33.963
37.153,33.887
37.13,33.818
37.107,33.756
37.083,33.703
37.059,33.658
37.034,33.623
37.008,33.597
36.981,33.581
36.953,33.575
36.925,33.577
36.896,33.587
36.867,33.603
36.837,33.625
36.808,33.65
36.78,33.678
36.755,33.706
36.731,33.734
36.71,33.761
36.693,33.785
36.679,33.808
36.67,33.829
36.665,33.848
36.665,33.865
36.67,33.883
36.679,33.901
36.692,33.921
36.708,33.942
36.727,33.967
36.748,33.994
36.772,34.025
36.797,34.058
36.823,34.094
36.849,34.131
36.876,34.169
36.902,34.206
36.926,34.242
36.948,34.275
36.968,34.306
36.986,34.332
37.001,34.355
37.014,34.373
37.024,34.386
37.03,34.396
37.032,34.402
37.031,34.406
37.025,34.407
37.015,34.406
37.001,34.405
36.984,34.403
36.963,34.4
36.939,34.398
36.912,34.397
36.882,34.395
36.851,34.394
36.817,34.393
36.782,34.391
36.746,34.387
36.709,34.382
36.671,34.374
36.634,34.364
36.597,34.349
36.56,34.332
36.524,34.312
36.487,34.289
36.45,34.266
36.413,34.244
36.375,34.223
36.336,34.206
36.297,34.194
36.257,34.189
36.216,34.192
36.175,34.204
36.134,34.227
36.094,34.262
36.054,34.309
36.016,34.367
35.979,34.438
35.945,34.52
35.912,34.614
35.881,34.72
35.851,34.835
35.823,34.961
35.796,35.093
35.769,35.232
35.744,35.376
35.72,35.523
35.696,35.671
35.674,35.818
35.653,35.963
35.634,36.104
35.616,36.239
35.599,36.366
35.582,36.484
35.567,36.591
35.552,36.686
35.538,36.765
35.523,36.829
35.507,36.874
35.49,36.899
35.472,36.904
35.451,36.888
35.429,36.851
35.407,36.793
35.385,36.717
35.362,36.624
35.339,36.517
35.315,36.399
35.293,36.273
35.272,36.142
35.253,36.01
35.237,35.88
35.222,35.753
35.211,35.633
35.201,35.52
35.195,35.415
35.191,35.318
35.189,35.23
35.189,35.149
35.19,35.074
35.191,35.005
35.192,34.94
35.191,34.881
35.188,34.825
35.183,34.773
35.174,34.724
35.161,34.677
35.144,34.632
35.125,34.586
35.103,34.539
35.078,34.489
35.052,34.434
