Trial 1:0back,Trial 6:0back
35.881,-0.554
35.898,-5.615
35.915,-10.951
35.93,-16.409
35.945,-21.831
35.96,-27.066
35.974,-31.974
35.987,-36.439
36.001,-40.373
36.014,-43.715
36.025,-46.437
36.035,-48.538
36.042,-50.042
36.048,-50.997
36.051,-51.463
36.053,-51.515
36.055,-51.232
36.055,-50.69
36.053,-49.945
36.051,-49.036
36.046,-47.981
36.038,-46.785
36.029,-45.447
36.018,-43.965
36.006,-42.343
35.993,-40.592
35.98,-38.738
35.967,-36.825
35.954,-34.902
35.941,-33.018
35.927,-31.219
35.91,-29.534
35.892,-27.975
35.873,-26.533
35.852,-25.18
35.831,-23.867
35.809,-22.534
35.787,-21.116
35.765,-19.552
35.742,-17.785
35.719,-15.763
35.697,-13.442
35.676,-10.779
35.656,-7.738
35.638,-4.29
35.621,-0.419
35.604,3.879
35.587,8.594
35.569,13.697
35.551,19.139
35.532,24.861
35.514,30.789
35.495,36.844
35.477,42.942
35.459,48.997
35.443,54.926
35.427,60.651
35.411,66.105
35.396,71.234
35.381,75.996
35.366,80.369
35.352,84.343
35.338,87.927
35.324,91.145
35.31,94.033
35.295,96.634
35.278,98.998
35.261,101.174
35.243,103.209
35.225,105.144
35.207,107.014
35.19,108.845
35.174,110.655
35.157,112.448
35.141,114.222
35.125,115.964
35.11,117.654
35.096,119.268
35.084,120.78
35.074,122.168
35.066,123.415
35.059,124.508
35.053,125.442
35.049,126.218
35.044,126.842
35.04,127.325
35.037,127.68
35.035,127.923
35.034,128.07
35.034,128.139
35.034,128.144
35.035,128.099
35.035,128.013
35.036,127.894
35.036,127.746
35.037,127.57
35.038,127.366
35.039,127.127
35.04,126.847
35.04,126.515
35.038,126.122
35.035,125.659
35.03,125.121
35.023,124.506
35.015,123.819
35.005,123.072
34.994,122.282
34.982,121.467
34.97,120.646
34.957,119.832
34.945,119.025
34.932,118.211
34.919,117.37
34.908,116.479
34.897,115.516
34.886,114.464
34.876,113.312
34.865,112.053
34.855,110.691
34.844,109.238
34.833,107.71
34.822,106.131
34.812,104.527
34.802,102.928
34.794,101.362
34.787,99.854
34.781,98.426
34.776,97.096
34.773,95.875
34.772,94.77
34.772,93.783
34.775,92.909
34.781,92.141
34.79,91.469
34.803,90.882
34.822,90.365
34.845,89.906
34.876,89.492
34.914,89.109
34.96,88.745
35.015,88.391
35.08,88.037
35.154,87.677
35.237,87.304
35.329,86.916
35.428,86.509
35.535,86.083
35.647,85.636
35.762,85.17
35.879,84.687
35.994,84.189
36.105,83.679
36.211,83.161
36.309,82.641
36.4,82.12
36.481,81.604
36.553,81.096
36.616,80.597
36.669,80.112
36.713,79.641
36.747,79.186
36.772,78.745
36.787,78.319
36.794,77.905
36.793,77.503
36.784,77.11
36.771,76.724
36.752,76.342
36.731,75.963
36.706,75.583
36.678,75.202
36.648,74.819
36.615,74.434
36.581,74.045
36.547,73.654
36.515,73.259
36.484,72.863
36.455,72.465
36.427,72.068
36.398,71.672
36.37,71.283
36.341,70.903
36.312,70.538
36.283,70.189
36.254,69.857
36.225,69.543
36.197,69.243
36.168,68.952
36.139,68.664
