Trial 1:0back,Trial 6:0back,,,
34.993,33.946,,,
35.39,33.925,,,
35.805,33.906,,,
36.232,33.888,,,
36.664,33.871,,,
37.097,33.856,,,
37.525,33.841,,,
37.944,33.828,,,
38.348,33.815,,,
38.735,33.804,,,
39.102,33.793,,,
39.446,33.783,,,
39.764,33.772,,,
40.055,33.761,,,
40.319,33.75,,,
40.555,33.739,,,
40.763,33.727,,,
40.943,33.716,,,
41.096,33.705,,,
41.224,33.695,,,
41.327,33.687,,,
41.406,33.681,,,
41.462,33.677,,,
41.496,33.677,,,
41.51,33.682,,,
41.504,33.694,,,
41.481,33.713,,,
41.441,33.743,,,
41.386,33.784,,,
41.317,33.839,,,
41.235,33.909,,,
41.142,33.995,,,
41.039,34.099,,,
40.927,34.219,,,
40.807,34.356,,,
40.681,34.508,,,
40.549,34.675,,,
40.413,34.854,,,
40.274,35.043,,,
40.134,35.24,,,
39.992,35.443,,,
39.85,35.648,,,
39.708,35.853,,,
39.566,36.056,,,
39.426,36.253,,,
39.286,36.443,,,
39.147,36.623,,,
39.009,36.792,,,
38.872,36.948,,,
38.736,37.089,,,
38.6,37.216,,,
38.463,37.328,,,
38.327,37.424,,,
38.19,37.505,,,
38.053,37.571,,,
37.917,37.624,,,
37.782,37.662,,,
37.649,37.687,,,
37.52,37.7,,,
37.396,37.701,,,
37.277,37.692,,,
37.164,37.673,,,
37.059,37.646,,,
36.962,37.611,,,
36.873,37.571,,,
36.793,37.527,,,
36.722,37.479,,,
36.661,37.428,,,
36.608,37.373,,,
36.563,37.316,,,
36.526,37.256,,,
36.497,37.196,,,
36.475,37.135,,,
36.46,37.075,,,
36.45,37.015,,,
36.445,36.957,,,
36.443,36.901,,,
36.444,36.848,,,
36.447,36.796,,,
36.452,36.747,,,
36.458,36.7,,,
36.464,36.655,,,
36.471,36.612,,,
36.476,36.569,,,
36.479,36.528,,,
36.481,36.487,,,
36.48,36.446,,,
36.476,36.405,,,
36.468,36.363,,,
36.457,36.322,,,
36.442,36.281,,,
36.421,36.241,,,
36.395,36.202,,,
36.365,36.166,,,
36.329,36.132,,,
36.289,36.101,,,
36.244,36.072,,,
36.194,36.044,,,
36.139,36.018,,,
36.081,35.993,,,
36.02,35.969,,,
35.957,35.947,,,
35.891,35.926,,,
35.823,35.908,,,
35.754,35.892,,,
35.684,35.88,,,
35.613,35.872,,,
35.541,35.868,,,
35.469,35.869,,,
35.396,35.874,,,
35.323,35.885,,,
35.25,35.9,,,
35.177,35.918,,,
35.103,35.939,,,
35.03,35.961,,,
34.955,35.983,,,
34.881,36.004,,,
34.805,36.022,,,
34.729,36.039,,,
34.653,36.052,,,
34.577,36.062,,,
34.501,36.069,,,
34.426,36.074,,,
34.351,36.075,,,
34.278,36.074,,,
34.207,36.07,,,
34.137,36.065,,,
34.069,36.056,,,
34.001,36.046,,,
33.933,36.033,,,
33.866,36.019,,,
33.8,36.002,,,
33.734,35.985,,,
33.668,35.966,,,
33.603,35.945,,,
33.539,35.922,,,
33.475,35.897,,,
33.413,35.87,,,
33.352,35.841,,,
33.292,35.811,,,
33.234,35.778,,,
33.177,35.744,,,
33.122,35.709,,,
33.067,35.672,,,
33.014,35.634,,,
32.961,35.595,,,
32.91,35.556,,,
32.859,35.517,,,
32.809,35.479,,,
32.76,35.441,,,
32.711,35.405,,,
32.663,35.37,,,
32.615,35.335,,,
32.567,35.301,,,
32.519,35.267,,,
32.471,35.233,,,
32.423,35.199,,,
32.376,35.164,,,
32.329,35.13,,,
32.286,35.094,,,
32.248,35.058,,,
32.219,35.02,,,
32.202,34.982,,,
32.203,34.945,,,
32.225,34.907,,,
32.274,34.87,,,
32.353,34.834,,,
32.467,34.799,,,
32.617,34.765,,,
32.804,34.732,,,
33.031,34.7,,,
33.295,34.669,,,
33.595,34.639,,,
33.929,34.611,,,
34.293,34.583,,,
34.682,34.555,,,
35.091,34.528,,,
35.514,34.502,,,
35.945,34.476,,,
36.379,34.45,,,
36.811,34.424,,,
37.234,34.398,,,
37.646,34.372,,,
38.041,34.346,,,
38.417,34.32,,,
38.77,34.294,,,
39.1,34.268,,,
39.404,34.244,,,
39.681,34.22,,,
39.932,34.198,,,
40.155,34.178,,,
40.351,34.161,,,
40.52,34.145,,,
40.662,34.132,,,
40.778,34.119,,,
40.867,34.108,,,
40.932,34.097,,,
40.972,34.086,,,
40.989,34.074,,,
40.985,34.062,,,
40.961,34.047,,,
40.918,34.032,,,
40.858,34.014,,,
40.782,33.995,,,
40.69,33.973,,,
40.585,33.95,,,
40.467,33.926,,,
40.338,33.901,,,
40.199,33.875,,,
40.051,33.85,,,
39.897,33.826,,,
39.737,33.802,,,
39.575,33.781,,,
39.41,33.762,,,
39.245,33.748,,,
39.081,33.74,,,
38.917,33.741,,,
38.753,33.753,,,
38.589,33.778,,,
38.426,33.817,,,
38.262,33.874,,,
38.097,33.949,,,
37.932,34.044,,,
37.765,34.158,,,
37.599,34.29,,,
37.434,34.44,,,
37.27,34.605,,,
37.108,34.785,,,
36.951,34.977,,,
36.797,35.18,,,
36.65,35.391,,,
36.509,35.608,,,
36.375,35.828,,,
36.249,36.047,,,
36.13,36.264,,,
36.02,36.476,,,
35.918,36.68,,,
35.825,36.874,,,
35.74,37.056,,,
35.665,37.223,,,
35.599,37.375,,,
35.542,37.511,,,
35.494,37.63,,,
35.454,37.731,,,
35.422,37.816,,,
35.398,37.886,,,
35.382,37.94,,,
35.372,37.979,,,
35.368,38.005,,,
35.368,38.019,,,
35.373,38.022,,,
35.381,38.014,,,
35.392,37.998,,,
35.404,37.974,,,
35.417,37.943,,,
35.43,37.905,,,
35.443,37.862,,,
35.454,37.815,,,
35.463,37.764,,,
35.471,37.711,,,
35.476,37.655,,,
35.478,37.598,,,
35.476,37.54,,,
35.47,37.482,,,
35.46,37.425,,,
35.446,37.368,,,
35.427,37.311,,,
35.403,37.255,,,
35.374,37.2,,,
35.341,37.146,,,
35.303,37.093,,,
35.261,37.04,,,
35.216,36.99,,,
35.167,36.941,,,
35.115,36.893,,,
35.061,36.847,,,
35.004,36.802,,,
34.944,36.759,,,
34.882,36.716,,,
34.818,36.674,,,
34.752,36.632,,,
34.684,36.591,,,
34.615,36.55,,,
34.543,36.51,,,
34.471,36.469,,,
34.398,36.427,,,
34.325,36.386,,,
34.251,36.345,,,
34.178,36.305,,,
34.105,36.266,,,
34.033,36.229,,,
33.96,36.195,,,
33.888,36.165,,,
33.816,36.137,,,
33.744,36.114,,,
