Trial 3:3back,Trial 5:3back
43.436,31.614
43.389,31.592
43.332,31.577
43.267,31.572
43.195,31.581
43.115,31.608
43.03,31.656
42.939,31.729
42.844,31.83
42.745,31.961
42.643,32.126
42.54,32.325
42.437,32.557
42.336,32.824
42.236,33.122
42.138,33.45
42.042,33.805
41.946,34.185
41.849,34.586
41.75,35.006
41.646,35.438
41.537,35.879
41.424,36.324
41.305,36.769
41.181,37.21
41.052,37.643
40.919,38.063
40.783,38.466
40.644,38.848
40.503,39.205
40.363,39.536
40.222,39.837
40.081,40.108
39.94,40.347
39.8,40.555
39.661,40.733
39.523,40.882
39.387,41.003
39.251,41.097
39.116,41.167
38.983,41.212
38.851,41.238
38.723,41.244
38.599,41.234
38.483,41.21
38.374,41.174
38.273,41.127
38.181,41.071
38.097,41.007
38.02,40.937
37.952,40.859
37.889,40.776
37.832,40.687
37.778,40.594
37.728,40.496
37.679,40.395
37.632,40.29
37.587,40.182
37.541,40.073
37.495,39.962
37.448,39.85
37.399,39.736
37.348,39.621
37.296,39.504
37.241,39.385
37.185,39.263
37.127,39.139
37.067,39.013
37.007,38.886
36.946,38.759
36.885,38.632
36.823,38.506
36.76,38.381
36.694,38.259
36.625,38.141
36.553,38.027
36.478,37.916
36.4,37.811
36.32,37.711
36.239,37.616
36.157,37.528
36.076,37.445
35.995,37.368
35.914,37.295
35.833,37.227
35.75,37.165
35.666,37.109
35.58,37.059
35.491,37.017
35.401,36.981
35.308,36.95
35.215,36.924
35.122,36.902
35.03,36.882
34.94,36.865
34.852,36.849
34.767,36.834
34.682,36.82
34.599,36.806
34.517,36.793
34.436,36.78
34.355,36.765
34.276,36.749
34.197,36.732
34.118,36.712
34.038,36.691
33.959,36.666
33.879,36.639
33.8,36.608
33.721,36.574
33.642,36.536
33.564,36.493
33.488,36.446
33.413,36.395
33.34,36.339
33.269,36.281
33.199,36.219
33.13,36.155
33.063,36.088
32.997,36.02
32.931,35.949
32.867,35.875
32.803,35.798
32.74,35.719
32.678,35.638
32.617,35.556
32.557,35.473
32.5,35.39
32.445,35.308
32.393,35.226
32.346,35.146
32.303,35.068
32.264,34.991
32.228,34.915
32.195,34.841
32.164,34.769
32.135,34.698
32.106,34.63
32.077,34.563
32.047,34.499
32.015,34.435
31.981,34.372
31.944,34.309
31.905,34.247
31.864,34.185
31.821,34.123
31.778,34.062
31.735,34.001
31.694,33.942
31.655,33.885
31.619,33.83
31.587,33.777
31.56,33.727
31.537,33.68
31.519,33.635
31.504,33.593
31.492,33.553
31.48,33.516
31.469,33.48
31.456,33.445
31.44,33.41
31.42,33.374
31.397,33.337
31.368,33.298
31.336,33.257
31.3,33.215
