Trial 1:0back,Trial 6:0back
35.06,34.422
35.051,34.412
35.039,34.404
35.026,34.396
35.012,34.39
34.997,34.386
34.982,34.383
34.966,34.381
34.949,34.38
34.933,34.377
34.916,34.375
34.9,34.372
34.884,34.369
34.868,34.366
34.853,34.363
34.838,34.359
34.825,34.354
34.813,34.349
34.803,34.342
34.795,34.333
34.79,34.323
34.787,34.311
34.788,34.298
34.79,34.284
34.793,34.27
34.796,34.257
34.797,34.246
34.796,34.236
34.792,34.228
34.786,34.221
34.778,34.214
34.768,34.21
34.757,34.207
34.746,34.206
34.737,34.207
34.729,34.211
34.724,34.219
34.721,34.231
34.719,34.249
34.719,34.274
34.719,34.308
34.719,34.352
34.718,34.406
34.715,34.472
34.71,34.547
34.703,34.634
34.695,34.73
34.686,34.837
34.674,34.955
34.66,35.082
34.644,35.218
34.625,35.362
34.606,35.512
34.587,35.666
34.57,35.822
34.554,35.977
34.54,36.129
34.528,36.276
34.519,36.415
34.514,36.544
34.512,36.662
34.515,36.766
34.521,36.855
34.53,36.929
34.54,36.987
34.55,37.029
34.559,37.057
34.564,37.07
34.567,37.07
34.565,37.059
34.56,37.038
34.551,37.008
34.539,36.973
34.524,36.935
34.506,36.896
34.487,36.857
34.466,36.819
34.446,36.78
34.429,36.74
34.414,36.699
34.402,36.657
34.391,36.613
34.383,36.568
34.375,36.521
34.367,36.472
34.361,36.422
34.354,36.371
34.348,36.321
34.342,36.273
34.335,36.226
34.327,36.181
34.317,36.137
34.307,36.096
34.295,36.056
34.284,36.019
34.272,35.983
34.261,35.949
34.25,35.916
34.241,35.883
34.231,35.85
34.222,35.817
34.213,35.783
34.205,35.75
34.199,35.716
34.194,35.684
34.192,35.653
34.191,35.623
34.192,35.594
34.194,35.568
34.196,35.544
34.199,35.524
34.201,35.507
34.202,35.494
34.201,35.484
34.198,35.477
34.193,35.473
34.186,35.473
34.179,35.479
34.171,35.492
34.163,35.51
34.157,35.533
34.151,35.557
34.147,35.581
34.144,35.605
34.141,35.626
34.138,35.643
34.135,35.656
34.132,35.665
34.13,35.669
34.129,35.67
34.13,35.669
34.132,35.666
34.136,35.661
34.14,35.654
34.145,35.644
34.149,35.631
34.152,35.617
34.154,35.6
34.153,35.581
34.149,35.56
34.142,35.538
34.133,35.515
34.121,35.491
34.108,35.469
34.093,35.446
34.078,35.423
34.065,35.399
34.055,35.373
34.051,35.347
34.055,35.32
34.069,35.294
34.095,35.267
34.137,35.24
34.196,35.214
34.277,35.188
34.382,35.162
34.512,35.136
34.668,35.109
34.849,35.08
35.051,35.049
35.274,35.017
35.512,34.984
35.761,34.95
36.016,34.915
36.272,34.88
36.526,34.847
36.771,34.814
37.004,34.783
37.22,34.754
37.416,34.726
37.59,34.7
37.739,34.676
37.864,34.654
37.964,34.634
38.039,34.616
38.092,34.599
38.122,34.584
38.134,34.57
38.127,34.556
38.106,34.543
38.071,34.53
38.026,34.517
37.973,34.504
37.914,34.491
37.851,34.478
37.785,34.466
37.717,34.453
37.648,34.441
37.579,34.427
37.511,34.413
37.445,34.398
37.384,34.384
37.327,34.37
37.277,34.357
37.234,34.345
37.198,34.335
37.17,34.326
37.15,34.319
37.135,34.313
37.126,34.307
37.122,34.301
37.122,34.296
37.125,34.29
37.131,34.284
37.138,34.279
37.144,34.274
37.149,34.27
37.151,34.268
37.149,34.266
37.141,34.267
37.128,34.269
37.109,34.272
37.086,34.277
37.059,34.283
37.028,34.289
36.994,34.295
36.957,34.3
36.917,34.306
36.874,34.311
36.83,34.316
36.785,34.321
36.741,34.325
36.699,34.328
36.66,34.33
36.626,34.331
36.596,34.33
36.57,34.327
36.549,34.321
36.53,34.313
36.516,34.302
36.504,34.291
36.495,34.278
36.488,34.266
36.482,34.254
36.479,34.241
36.477,34.228
36.478,34.214
36.481,34.201
36.485,34.189
36.491,34.178
36.498,34.167
36.504,34.156
36.51,34.143
36.514,34.129
36.515,34.113
36.513,34.096
36.507,34.077
36.499,34.056
36.489,34.035
36.477,34.014
36.464,33.993
36.448,33.973
36.432,33.956
36.415,33.943
36.398,33.933
36.38,33.927
36.362,33.926
36.343,33.93
36.324,33.939
36.305,33.956
36.285,33.98
36.266,34.015
36.246,34.059
36.225,34.114
36.203,34.18
36.18,34.256
36.155,34.343
36.129,34.441
36.101,34.55
36.072,34.669
36.044,34.799
36.016,34.937
35.99,35.084
35.966,35.237
35.942,35.395
35.92,35.557
35.898,35.719
35.878,35.88
35.858,36.038
35.841,36.191
35.825,36.336
35.809,36.473
35.793,36.599
35.778,36.713
35.762,36.813
35.746,36.9
35.731,36.971
35.717,37.028
35.703,37.072
35.689,37.102
35.675,37.121
35.66,37.129
35.643,37.127
35.624,37.117
35.602,37.1
35.579,37.076
35.555,37.046
35.531,37.012
35.509,36.974
35.487,36.933
35.466,36.89
35.446,36.847
35.427,36.804
35.411,36.763
35.398,36.723
35.388,36.685
35.38,36.649
35.375,36.615
35.37,36.582
35.366,36.55
35.362,36.518
35.359,36.487
35.356,36.456
35.355,36.424
35.354,36.391
35.354,36.358
35.355,36.325
35.356,36.292
35.356,36.259
35.355,36.225
35.353,36.192
35.351,36.158
35.347,36.124
35.343,36.09
35.338,36.055
35.331,36.021
35.323,35.988
35.314,35.956
35.303,35.926
35.291,35.897
35.278,35.869
35.264,35.842
35.249,35.816
35.232,35.792
35.215,35.77
35.197,35.751
35.18,35.734
35.164,35.719
35.15,35.705
35.139,35.694
35.132,35.686
35.127,35.68
35.123,35.677
35.121,35.678
35.116,35.68
35.109,35.685
35.1,35.689
35.088,35.694
35.074,35.699
35.057,35.705
35.038,35.712
35.017,35.719
34.996,35.727
34.976,35.734
34.958,35.74
34.942,35.744
34.928,35.748
34.916,35.75
34.907,35.75
34.899,35.747
34.893,35.741
34.888,35.731
34.883,35.717
34.877,35.702
34.871,35.685
34.863,35.667
34.855,35.647
34.845,35.627
34.834,35.606
34.822,35.585
34.809,35.565
34.797,35.545
34.783,35.527
34.77,35.509
34.755,35.492
34.74,35.475
34.725,35.457
34.71,35.438
34.695,35.418
34.681,35.396
34.668,35.374
34.655,35.352
34.642,35.328
34.63,35.304
34.619,35.279
34.612,35.253
34.608,35.225
34.608,35.196
34.614,35.166
34.627,35.135
34.649,35.106
34.682,35.078
34.728,35.053
34.786,35.031
34.859,35.012
34.946,34.995
35.046,34.982
35.158,34.972
35.279,34.965
35.409,34.961
35.545,34.958
35.685,34.957
35.828,34.956
35.973,34.955
36.118,34.953
36.26,34.951
36.396,34.947
36.526,34.942
36.645,34.935
36.754,34.925
36.85,34.912
36.933,34.897
37.004,34.881
37.062,34.868
37.107,34.864
37.141,34.87
37.163,34.884
37.173,34.905
37.173,34.927
37.162,34.949
37.143,34.966
37.115,34.977
37.081,34.979
37.041,34.971
36.996,34.953
36.948,34.928
36.898,34.896
36.849,34.859
36.802,34.82
36.759,34.78
36.721,34.74
36.688,34.702
36.659,34.667
36.635,34.637
36.613,34.613
36.593,34.594
36.575,34.58
36.559,34.571
36.546,34.567
36.536,34.565
36.527,34.565
36.519,34.566
36.512,34.568
36.504,34.57
36.494,34.572
36.482,34.572
36.467,34.571
36.449,34.568
36.429,34.563
36.406,34.556
36.381,34.546
36.353,34.535
36.322,34.523
36.289,34.51
36.255,34.496
36.22,34.481
36.185,34.465
36.151,34.447
36.119,34.428
36.089,34.408
36.062,34.387
36.037,34.367
36.014,34.348
35.994,34.33
35.978,34.315
35.966,34.302
35.958,34.289
35.954,34.278
35.955,34.268
35.958,34.26
35.962,34.254
35.968,34.251
35.975,34.25
35.983,34.253
35.992,34.261
36.001,34.274
36.011,34.294
36.021,34.323
36.03,34.36
36.037,34.408
36.042,34.467
36.045,34.538
36.046,34.623
36.045,34.721
36.042,34.832
36.039,34.957
36.034,35.095
36.028,35.243
36.02,35.401
36.011,35.567
36,35.739
35.987,35.915
35.972,36.091
35.953,36.264
35.932,36.432
35.907,36.59
35.881,36.738
35.852,36.873
35.822,36.993
35.791,37.095
35.759,37.18
35.728,37.247
35.698,37.297
35.669,37.33
35.642,37.349
35.616,37.354
35.591,37.347
35.568,37.33
35.546,37.305
35.527,37.274
35.511,37.239
35.497,37.201
35.486,37.16
35.478,37.118
35.471,37.075
35.467,37.032
35.463,36.989
35.46,36.947
35.458,36.906
35.454,36.865
35.449,36.823
35.442,36.781
35.433,36.738
35.421,36.696
35.405,36.654
35.387,36.613
35.366,36.574
35.342,36.535
35.318,36.497
35.294,36.46
35.272,36.423
35.252,36.385
35.235,36.346
35.221,36.305
35.209,36.263
35.2,36.219
35.192,36.174
35.186,36.127
35.18,36.079
35.175,36.029
35.17,35.979
35.164,35.928
35.157,35.879
35.148,35.831
35.136,35.787
35.123,35.745
35.108,35.707
35.092,35.672
35.076,35.642
35.059,35.616
35.041,35.594
35.021,35.577
35.002,35.564
34.983,35.554
34.967,35.547
34.952,35.543
34.942,35.541
34.935,35.542
34.931,35.546
34.928,35.553
34.926,35.562
34.923,35.573
34.92,35.586
34.916,35.6
34.912,35.615
34.909,35.63
34.906,35.644
34.903,35.658
34.901,35.67
34.897,35.68
34.893,35.688
34.887,35.694
34.88,35.698
34.872,35.7
34.862,35.699
34.851,35.696
34.84,35.691
34.829,35.684
34.819,35.675
34.809,35.665
34.801,35.653
34.795,35.639
34.791,35.622
34.788,35.604
34.786,35.584
34.784,35.564
34.782,35.544
34.78,35.523
34.777,35.502
34.774,35.48
34.77,35.459
34.763,35.437
34.753,35.416
34.741,35.395
34.725,35.376
34.707,35.357
34.688,35.339
34.667,35.321
34.646,35.303
34.624,35.284
34.603,35.264
34.582,35.243
34.561,35.222
34.541,35.199
34.522,35.175
34.504,35.152
34.488,35.13
34.474,35.108
34.462,35.087
34.45,35.066
34.44,35.047
34.429,35.028
34.418,35.01
34.407,34.995
34.396,34.982
34.385,34.97
34.373,34.96
34.362,34.95
34.351,34.941
34.342,34.934
34.335,34.928
34.33,34.925
34.329,34.922
34.333,34.919
34.34,34.915
34.353,34.91
34.373,34.903
34.398,34.896
34.433,34.887
34.477,34.877
34.533,34.866
34.603,34.852
34.687,34.838
34.786,34.824
34.901,34.811
35.03,34.798
35.174,34.785
35.328,34.773
35.491,34.76
35.659,34.748
35.828,34.735
35.995,34.722
36.156,34.709
36.309,34.697
36.451,34.684
36.579,34.671
36.693,34.659
36.791,34.648
36.872,34.64
36.937,34.634
36.985,34.63
37.017,34.627
37.035,34.624
37.039,34.621
37.032,34.619
37.015,34.617
36.989,34.617
36.957,34.616
36.92,34.614
36.878,34.61
36.834,34.604
36.789,34.596
36.745,34.587
36.703,34.577
36.663,34.566
36.626,34.555
36.592,34.543
36.562,34.53
36.535,34.515
36.511,34.499
36.491,34.482
36.474,34.466
36.46,34.446
36.45,34.42
36.442,34.389
36.436,34.356
36.432,34.323
36.428,34.292
36.424,34.265
36.421,34.244
36.418,34.229
36.415,34.221
36.411,34.219
36.407,34.223
36.402,34.231
36.394,34.242
36.382,34.255
36.368,34.269
36.35,34.282
36.328,34.295
36.303,34.307
36.274,34.318
36.241,34.329
36.206,34.341
36.168,34.355
36.128,34.374
36.089,34.398
36.051,34.43
36.016,34.472
35.984,34.525
35.956,34.59
35.932,34.669
35.911,34.762
35.895,34.87
35.882,34.992
35.874,35.128
35.869,35.276
35.867,35.434
35.867,35.6
35.868,35.77
35.87,35.942
35.872,36.113
35.872,36.28
35.872,36.441
35.872,36.594
35.872,36.736
