Trial 1:0back,Trial 6:0back
35.314,33.234
35.321,33.212
35.333,33.19
35.346,33.169
35.36,33.148
35.373,33.127
35.383,33.107
35.389,33.087
35.391,33.068
35.387,33.05
35.376,33.031
35.359,33.011
35.335,32.99
35.305,32.967
35.267,32.942
35.225,32.917
35.177,32.891
35.126,32.864
35.072,32.837
35.015,32.812
34.956,32.79
34.895,32.772
34.834,32.763
34.772,32.764
34.711,32.778
34.651,32.806
34.592,32.852
34.533,32.916
34.475,32.998
34.415,33.1
34.355,33.22
34.293,33.358
34.231,33.51
34.168,33.675
34.106,33.849
34.044,34.028
33.984,34.211
33.925,34.395
33.867,34.576
33.812,34.753
33.758,34.923
33.706,35.083
33.656,35.231
33.607,35.365
33.559,35.483
33.511,35.587
33.464,35.676
33.417,35.752
33.369,35.816
33.322,35.869
33.274,35.911
33.225,35.943
33.175,35.968
33.124,35.986
33.072,35.999
33.018,36.006
32.963,36.007
32.907,36.002
32.847,35.994
32.785,35.98
32.719,35.963
32.65,35.94
32.579,35.912
32.506,35.878
32.432,35.838
32.358,35.795
32.284,35.75
32.211,35.704
32.14,35.659
32.072,35.617
32.007,35.577
31.947,35.538
31.894,35.502
31.848,35.466
31.81,35.429
31.783,35.392
31.767,35.352
31.764,35.309
31.777,35.265
31.806,35.219
31.854,35.17
31.922,35.12
32.014,35.069
32.128,35.019
32.268,34.972
32.431,34.927
32.618,34.887
32.826,34.85
33.055,34.818
33.3,34.791
33.56,34.769
33.832,34.751
34.111,34.737
34.395,34.724
34.681,34.713
34.964,34.703
35.242,34.696
35.512,34.69
35.77,34.686
36.014,34.683
36.244,34.678
36.456,34.672
36.651,34.664
36.827,34.653
36.982,34.641
37.116,34.628
37.229,34.614
37.32,34.6
37.391,34.587
37.441,34.574
37.474,34.563
37.488,34.552
37.486,34.542
37.469,34.533
37.438,34.526
37.396,34.519
37.344,34.514
37.285,34.509
37.22,34.505
37.151,34.5
37.079,34.494
37.005,34.485
36.929,34.473
36.851,34.458
36.772,34.438
36.691,34.414
36.609,34.388
36.525,34.36
36.44,34.333
36.353,34.306
36.264,34.282
36.171,34.259
36.076,34.238
35.976,34.218
35.874,34.201
35.77,34.186
35.664,34.172
35.557,34.159
35.452,34.147
35.349,34.134
35.248,34.122
35.15,34.108
35.055,34.094
34.964,34.077
34.878,34.057
34.796,34.034
34.719,34.009
34.647,33.983
34.58,33.957
34.517,33.931
34.46,33.905
34.409,33.877
34.364,33.849
34.325,33.819
34.292,33.79
34.264,33.762
34.241,33.734
34.222,33.708
34.207,33.683
34.194,33.66
34.183,33.639
34.175,33.62
34.17,33.604
34.167,33.587
34.166,33.57
34.167,33.552
34.171,33.532
34.175,33.513
34.18,33.493
34.187,33.474
34.193,33.456
34.198,33.438
34.202,33.42
34.203,33.403
34.201,33.387
34.197,33.373
34.189,33.36
34.177,33.348
34.161,33.335
34.142,33.323
34.118,33.311
34.09,33.299
34.057,33.288
34.022,33.278
33.982,33.268
33.941,33.259
33.897,33.251
33.853,33.247
33.808,33.249
33.765,33.26
33.722,33.281
33.681,33.315
33.641,33.362
33.604,33.423
33.568,33.5
33.534,33.592
33.502,33.697
33.471,33.816
33.44,33.946
33.408,34.086
33.374,34.233
33.338,34.386
33.302,34.541
33.264,34.696
33.228,34.848
33.191,34.995
33.156,35.133
33.122,35.261
33.09,35.378
33.059,35.48
33.029,35.569
32.999,35.644
32.969,35.705
32.938,35.754
32.906,35.791
32.871,35.818
32.834,35.836
32.793,35.847
32.75,35.852
32.702,35.853
32.651,35.85
32.597,35.843
32.541,35.833
32.484,35.818
32.427,35.799
32.371,35.777
32.316,35.752
32.264,35.723
32.215,35.691
32.169,35.656
32.128,35.619
32.091,35.58
32.059,35.541
32.033,35.501
32.012,35.461
31.996,35.42
31.985,35.38
31.979,35.339
31.977,35.299
31.979,35.26
31.986,35.221
31.998,35.183
32.016,35.147
32.043,35.111
32.08,35.076
32.13,35.04
32.195,35.002
32.277,34.964
32.376,34.926
32.496,34.888
32.636,34.85
32.796,34.814
32.975,34.778
33.173,34.742
33.387,34.708
33.613,34.676
33.849,34.646
34.09,34.619
34.332,34.595
34.57,34.573
34.801,34.554
35.021,34.538
35.227,34.525
35.416,34.515
35.588,34.507
35.741,34.501
35.874,34.496
35.99,34.492
36.088,34.489
36.171,34.486
36.24,34.486
36.297,34.487
36.344,34.488
36.381,34.489
36.409,34.489
36.427,34.49
36.436,34.49
36.437,34.49
36.43,34.489
36.415,34.488
36.392,34.487
36.362,34.486
36.325,34.485
36.282,34.484
36.233,34.482
36.178,34.478
36.118,34.472
36.052,34.463
35.981,34.452
35.905,34.438
35.825,34.423
35.74,34.407
35.65,34.39
35.557,34.372
35.461,34.352
35.364,34.331
35.267,34.308
35.17,34.283
35.076,34.256
34.985,34.229
34.898,34.202
34.816,34.175
34.74,34.15
34.671,34.125
34.608,34.101
34.552,34.078
34.502,34.055
34.458,34.034
34.42,34.012
34.385,33.99
34.355,33.967
34.328,33.944
34.303,33.921
34.28,33.898
34.259,33.877
34.241,33.858
34.224,33.84
34.209,33.822
34.196,33.804
34.184,33.785
34.175,33.767
34.168,33.75
34.162,33.734
34.159,33.72
34.158,33.708
34.158,33.697
34.161,33.687
34.166,33.679
34.173,33.672
34.182,33.664
34.193,33.657
34.205,33.65
34.216,33.642
34.226,33.634
34.235,33.624
34.241,33.614
34.243,33.601
34.24,33.587
34.232,33.571
34.218,33.553
34.198,33.534
34.17,33.514
34.136,33.492
34.096,33.469
34.051,33.443
34.001,33.416
33.948,33.388
33.894,33.36
33.839,33.333
33.787,33.307
33.737,33.282
33.691,33.259
33.651,33.24
33.616,33.225
33.588,33.217
33.567,33.217
